CODIGO,TÍTULO,AUTOR,EDITORIAL,ESTADO,UBICACIÓN 
20.3.13.4.05.046,"DE SUSTOS, AMORES Y OTRAS COSAS ATERRADORAS",ALBERTO POCASANGRE,"LOQUELEO, SANTILLANA",EXCELENTE,M3A2
20.3.13.4.05.047,"DE SUSTOS, AMORES Y OTRAS COSAS ATERRADORAS",ALBERTO POCASANGRE,"LOQUELEO, SANTILLANA",EXCELENTE,M3A2
20.313.4.05.048,DIOSES Y HÉROES DE LA MITOLOGÍA GRIEGA,ANA MARÍA SHUA,"LOQUELEO, EDITORIAL SANTILLANA",EXCELENTE,M3A2
20.313.4.05.049,DIOSES Y HÉROES DE LA MITOLOGÍA GRIEGA,ANA MARÍA SHUA,"LOQUELEO, EDITORIAL SANTILLANA",EXCELENTE,M3A2
20.313.4.05.050,DORI / FANTASMAGORI,ABBY HANLON,"LOQUELEO, EDITORIAL SANTILLANA",EXCELENTE,M3A2
20.313.4.05.051,DORI / FANTASMAGORI,ABBY HANLON,"LOQUELEO, EDITORIAL SANTILLANA",EXCELENTE,M3A2
20.313.4.05.052,DORI / LA OVEJA NEGRA,ABBY HANLON,"LOQUELEO, EDITORIAL SANTILLANA",EXCELENTE,M3A2
20.313.4.05.053,DORI / LA OVEJA NEGRA,ABBY HANLON,"LOQUELEO, EDITORIAL SANTILLANA",EXCELENTE,M3A2
20.313.4.05.054,DORI / TIENE UNA AMIGA DE VERDAD,ABBY HANLON,"LOQUELEO, EDITORIAL SANTILLANA",EXCELENTE,M3A2
20.313.4.05.055,DORI / TIENE UNA AMIGA DE VERDAD,ABBY HANLON,"LOQUELEO, EDITORIAL SANTILLANA",EXCELENTE,M3A2
20.313.4.05.056,DOS NIÑOS Y UN ÁNGEL EN NUEVA YORK,E.L. KONIGSBURG,"LOQUELEO, EDITORIAL SANTILLANA",EXCELENTE,M3A2
20.313.4.05.057,DOS NIÑOS Y UN ÁNGEL EN NUEVA YORK,E.L. KONIGSBURG,"LOQUELEO, EDITORIAL SANTILLANA",EXCELENTE,M3A2
20.3.13.4.05.058,EL AÑO EN QUE LUCÍA DEJÓ DE SOÑAR,IVANNA CHAPETA,"LOQUELEO, EDITORIAL SANTILLANA",EXCELENTE,M3A2
20.3.13.4.05.059,EL AÑO EN QUE LUCÍA DEJÓ DE SOÑAR,IVANNA CHAPETA,"LOQUELEO, EDITORIAL SANTILLANA",EXCELENTE,M3A2
20.3.13.4.05.060,EL CANARIO Y LA ROSA,JULIO SANTIZO CORONADO,"LOQUELEO, EDITORIAL SANTILLANA",EXCELENTE,M3A2
20.3.13.4.05.061,EL CANARIO Y LA ROSA,JULIO SANTIZO CORONADO,"LOQUELEO, EDITORIAL SANTILLANA",EXCELENTE,M3A2
20.3.13.4.05.062,EL DIABLO EN LA BOTELLA,ROBERT LOUIS STEVENSON,"LOQUELEO, EDITORIAL SANTILLANA",EXCELENTE,M3A2
20.3.13.4.05.063,EL DIABLO EN LA BOTELLA,ROBERT LOUIS STEVENSON,"LOQUELEO, EDITORIAL SANTILLANA",EXCELENTE,M3A2
